TEAM_NAME,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,FG2M,FG2A,FG2_PCT,OUTCOME,DEFICIT_FGM,DEFICIT_FGA,DEFICIT_FG3M,DEFICIT_FG3A,DEFICIT_FTM,DEFICIT_FTA,DEFICIT_OREB,DEFICIT_DREB,DEFICIT_REB,DEFICIT_AST,DEFICIT_STL,DEFICIT_BLK,DEFICIT_TO,DEFICIT_PF,DEFICIT_FG2M,DEFICIT_FG2A
Thunder,12,24,0.5,26,35,0.743,9,31,40,24,4,5,12,23,124,31,56,0.553571429,1,0.505882353,0.479041916,0.571428571,0.461538462,0.553191489,0.546875,0.428571429,0.543859649,0.512820513,0.545454545,0.363636364,0.555555556,0.545454545,0.479166667,0.484375,0.486956522
Nuggets,9,28,0.321,21,29,0.724,12,26,38,20,7,4,10,25,114,33,59,0.559322034,0,0.494117647,0.520958084,0.428571429,0.538461538,0.446808511,0.453125,0.571428571,0.456140351,0.487179487,0.454545455,0.636363636,0.444444444,0.454545455,0.520833333,0.515625,0.513043478
Nuggets,5,14,0.357,22,27,0.815,17,40,57,19,4,7,12,27,101,32,78,0.41025641,0,0.493333333,0.50273224,0.384615385,0.482758621,0.5,0.519230769,0.566666667,0.547945205,0.553398058,0.463414634,0.363636364,0.28,0.631578947,0.586956522,0.516129032,0.506493506
Bulls,8,15,0.533,22,25,0.88,13,33,46,22,7,18,7,19,106,30,76,0.394736842,1,0.506666667,0.49726776,0.615384615,0.517241379,0.5,0.480769231,0.433333333,0.452054795,0.446601942,0.536585366,0.636363636,0.72,0.368421053,0.413043478,0.483870968,0.493506494
Kings,5,12,0.417,25,29,0.862,10,32,42,23,7,7,20,26,110,35,62,0.564516129,1,0.487804878,0.448484848,0.416666667,0.333333333,0.609756098,0.568627451,0.4,0.581818182,0.525,0.511111111,0.368421053,0.538461538,0.588235294,0.52,0.5,0.480620155
Timberwolves,7,24,0.292,16,22,0.727,15,23,38,22,12,6,14,24,107,35,67,0.52238806,0,0.512195122,0.551515152,0.583333333,0.666666667,0.390243902,0.431372549,0.6,0.418181818,0.475,0.488888889,0.631578947,0.461538462,0.411764706,0.48,0.5,0.519379845
Knicks,8,29,0.276,8,9,0.889,4,25,29,17,9,4,12,24,82,25,56,0.446428571,0,0.458333333,0.521472393,0.533333333,0.644444444,0.242424242,0.214285714,0.266666667,0.384615385,0.3625,0.485714286,0.529411765,0.444444444,0.444444444,0.631578947,0.438596491,0.474576271
Hornets,7,16,0.438,25,33,0.758,11,40,51,18,8,5,15,14,110,32,62,0.516129032,1,0.541666667,0.478527607,0.466666667,0.355555556,0.757575758,0.785714286,0.733333333,0.615384615,0.6375,0.514285714,0.470588235,0.555555556,0.555555556,0.368421053,0.561403509,0.525423729
Clippers,13,31,0.419,15,21,0.714,9,38,47,31,8,5,10,17,120,33,57,0.578947368,1,0.547619048,0.505747126,0.52,0.508196721,0.555555556,0.552631579,0.529411765,0.542857143,0.540229885,0.516666667,0.666666667,0.714285714,0.476190476,0.485714286,0.559322034,0.504424779
Mavericks,12,30,0.4,12,17,0.706,8,32,40,29,4,2,11,18,100,26,56,0.464285714,0,0.452380952,0.494252874,0.48,0.491803279,0.444444444,0.447368421,0.470588235,0.457142857,0.459770115,0.483333333,0.333333333,0.285714286,0.523809524,0.514285714,0.440677966,0.495575221
Pistons,11,33,0.333,19,26,0.731,9,35,44,27,8,3,10,10,98,23,47,0.489361702,1,0.478873239,0.476190476,0.55,0.515625,0.655172414,0.722222222,0.5,0.486111111,0.488888889,0.519230769,0.571428571,0.6,0.434782609,0.303030303,0.450980392,0.451923077
Nets,9,31,0.29,10,10,1,9,37,46,25,6,2,13,23,93,28,57,0.49122807,0,0.521126761,0.523809524,0.45,0.484375,0.344827586,0.277777778,0.5,0.513888889,0.511111111,0.480769231,0.428571429,0.4,0.565217391,0.696969697,0.549019608,0.548076923
76ers,11,24,0.458,18,25,0.72,12,32,44,21,4,12,16,31,93,21,56,0.375,1,0.524590164,0.479041916,0.733333333,0.571428571,0.375,0.373134328,0.387096774,0.47761194,0.448979592,0.567567568,0.307692308,0.705882353,0.551724138,0.534482759,0.456521739,0.448
Pacers,4,18,0.222,30,42,0.714,19,35,54,16,9,5,13,27,92,25,69,0.362318841,0,0.475409836,0.520958084,0.266666667,0.428571429,0.625,0.626865672,0.612903226,0.52238806,0.551020408,0.432432432,0.692307692,0.294117647,0.448275862,0.465517241,0.543478261,0.552
